City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
99,Linhares,BR,75.38,overcast clouds,-19.3911,-40.0722,Hotel Conceição
101,Kjollefjord,NO,38.8,broken clouds,70.9457,27.3465,Hotel Nordkyn
103,Saint George,US,57.54,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
104,Juneau,US,41.22,light rain,58.3019,-134.4197,"Baranof Downtown, Bw Signature Collection"
106,Albany,US,54.95,overcast clouds,42.6001,-73.9662,
107,Korla,CN,54.48,overcast clouds,41.7597,86.1469,Gulisitan Hotel
108,Hambantota,LK,75.54,scattered clouds,6.1241,81.1185,Bungalow 63
109,Kirakira,SB,81.21,overcast clouds,-10.4544,161.9205,SanBiz Lodge
110,Lebanon,US,54.59,mist,36.2081,-86.2911,Hampton Inn & Suites Lebanon
111,Tondano,ID,68.09,overcast clouds,1.3038,124.9112,Villa Bella
112,Lorengau,PG,82.4,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
113,Nikolskoye,RU,48.87,broken clouds,59.7035,30.7861,Tourist House - Sablino
114,Hithadhoo,MV,83.48,broken clouds,-0.6,73.0833,Scoop Guest House
115,Camacha,PT,75.52,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
116,Pimentel,PE,66.49,few clouds,-6.8367,-79.9342,Casona Del Muelle
117,Hovd,MN,35.13,broken clouds,48.0056,91.6419,Hotel Khovd
119,Dagda,LV,50.4,few clouds,56.0951,27.5372,"Tineji , ZS, Brivdienu maja"
120,Ribeira Grande,PT,70.2,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
123,Karratha,AU,73.99,clear sky,-20.7377,116.8463,ibis Styles Karratha
124,Andenes,NO,40.98,clear sky,69.3143,16.1194,Hotell Marena
126,Sistranda,NO,53.91,overcast clouds,63.7256,8.834,Hotell Frøya
127,Brae,GB,51.71,overcast clouds,60.3964,-1.353,Busta House Hotel
129,Saint-Tite,CA,45.45,broken clouds,46.7334,-72.5658,Gîte de l'Artiste
130,Cidreira,BR,71.49,broken clouds,-30.1811,-50.2056,Hotel Castelo
131,Berlevag,NO,37.96,overcast clouds,70.8578,29.0864,Kvitbrakka
134,Vanino,RU,41.47,overcast clouds,49.0869,140.2543,Гостиница 5 Звезд
135,Nueva Concepcion,GT,81.75,overcast clouds,14.2,-91.3,Hotel Villa Las Flores
136,Saint-Philippe,RE,76.55,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
137,Coquimbo,CL,55.13,light intensity drizzle,-29.9533,-71.3436,Punto de encuentro
138,Sao Joao Da Barra,BR,77.09,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
139,Pandan,PH,81.16,broken clouds,14.0453,124.1694,Bonifacio Lodge
140,Vestmanna,FO,47.32,broken clouds,62.1564,-7.1664,Budget Guesthouse Borgustova
141,Lata,PT,68.04,overcast clouds,40.1629,-8.3327,Casa Maquia
142,Xining,CN,38.8,overcast clouds,36.6167,101.7667,Super Leisure Hotel
143,Avera,US,59.38,broken clouds,33.194,-82.5271,
144,Mahebourg,MU,77.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
145,Isangel,VU,74.52,clear sky,-19.55,169.2667,Tanna Lodge
146,Tamiahua,MX,76.35,scattered clouds,21.2667,-97.45,Mission Of The Sun Hotel
147,Bambous Virieux,MU,77.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
150,Upington,ZA,84.58,clear sky,-28.4478,21.2561,River Place Manor
151,Miass,RU,36.46,overcast clouds,55.045,60.1083,Apartments 8 marta 147
152,Saint-Augustin,CA,49.51,clear sky,51.226,-58.6502,
153,Hit,IQ,80.55,overcast clouds,33.6416,42.8251,صالون زيرو
155,Orocue,CO,78.93,overcast clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
156,East London,ZA,67.14,few clouds,-33.0153,27.9116,Tu Casa
157,Tres Picos,MX,80.82,clear sky,15.8667,-93.5333,Tres picos Chiapas
158,Tenamaxtlan,MX,66.78,broken clouds,20.2167,-104.1667,Hotel Andy
159,Dawlatabad,AF,59.02,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
160,Nushki,PK,65.97,clear sky,29.5542,66.0215,Shams hotel
161,Gunupur,IN,75.67,overcast clouds,19.0833,83.8167,Sree Satya Residency
164,Lagoa,PT,70.03,overcast clouds,39.05,-27.9833,Casa Das Faias
