City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
55,Cherskiy,RU,2021-10-30 14:37:19,68.75,161.3,-5.04,99,100,4.29,light snow,0,0
56,Sibolga,ID,2021-10-30 14:41:13,1.7427,98.7792,77.59,89,100,2.26,heavy intensity rain,0,0
57,San Patricio,US,2021-10-30 14:36:34,28.017,-97.5169,69.93,24,0,4.94,clear sky,0,0
58,Lima,PE,2021-10-30 14:37:05,-12.0432,-77.0282,63.39,25,90,8.05,overcast clouds,0,0
59,Puerto Ayora,EC,2021-10-30 14:36:15,-0.7393,-90.3518,71.56,82,85,8.72,overcast clouds,0,0
60,Chokurdakh,RU,2021-10-30 14:36:40,70.6333,147.9167,-8.19,96,100,6.69,overcast clouds,0,0
61,Asyut,EG,2021-10-30 14:41:13,27.181,31.1837,93.38,24,100,7.23,overcast clouds,0,0
62,Curaca,BR,2021-10-30 14:41:13,-8.9903,-39.9094,89.64,19,0,8.05,clear sky,0,0
63,Mar Del Plata,AR,2021-10-30 14:33:24,-38.0023,-57.5575,77.02,69,0,10.36,clear sky,0,0
64,Hodosa,RO,2021-10-30 14:41:13,46.6333,24.8167,62.46,45,2,3.89,clear sky,0,0
65,Porto Belo,BR,2021-10-30 14:41:14,-27.1578,-48.5531,73.63,93,100,11.32,overcast clouds,0,0
66,Ahipara,NZ,2021-10-30 14:36:25,-35.1667,173.1667,62.47,96,100,17.6,light rain,0,0
67,Tezu,IN,2021-10-30 14:41:14,27.9167,96.1667,67.17,58,0,4.32,clear sky,0,0
68,Athabasca,CA,2021-10-30 14:41:14,54.7169,-113.2854,22.82,58,90,9.8,overcast clouds,0,0
69,Russell,US,2021-10-30 14:41:14,32.3502,-85.1999,55.11,83,90,8.05,overcast clouds,0,0
70,Kahului,US,2021-10-30 14:36:33,20.8947,-156.47,72.84,83,1,5.75,clear sky,0,0
71,La Cruz,MX,2021-10-30 14:41:14,23.9167,-106.9,76.46,78,0,2.57,clear sky,0,0
72,Virginia Beach,US,2021-10-30 14:41:14,36.8529,-75.978,65.05,69,2,4.0,clear sky,0,0
73,Arinos,BR,2021-10-30 14:41:14,-15.9169,-46.1056,93.94,30,12,6.35,few clouds,0,0
74,Port Hedland,AU,2021-10-30 14:41:15,-20.3167,118.5667,73.45,83,0,8.05,clear sky,0,0
75,Maniitsoq,GL,2021-10-30 14:41:15,65.4167,-52.9,35.06,85,100,24.07,overcast clouds,0,0
76,Parana,AR,2021-10-30 14:37:04,-31.732,-60.5238,90.57,48,6,6.6,clear sky,0,0
77,Kavieng,PG,2021-10-30 14:36:51,-2.5744,150.7967,83.39,75,75,12.35,broken clouds,0,0
78,Raymond,US,2021-10-30 14:41:15,43.9015,-70.4703,52.29,93,100,7.09,overcast clouds,0,0
79,Victoria,HK,2021-10-30 14:34:00,22.2855,114.1577,76.32,81,58,1.01,light rain,0,0
80,Zaragoza,ES,2021-10-30 14:40:04,41.6561,-0.8773,68.45,77,20,1.99,few clouds,0,0
81,Jasdan,IN,2021-10-30 14:41:15,22.0333,71.2,79.88,26,91,8.48,overcast clouds,0,0
82,Nabire,ID,2021-10-30 14:41:16,-3.3667,135.4833,76.86,91,84,2.62,heavy intensity rain,0,0
83,Batemans Bay,AU,2021-10-30 14:41:16,-35.7167,150.1833,53.1,71,77,5.01,broken clouds,0,0
84,Aykhal,RU,2021-10-30 14:36:53,66.0,111.5,11.21,99,100,6.62,overcast clouds,0,0
85,Atasu,KZ,2021-10-30 14:41:16,48.6814,71.6433,36.75,63,78,9.19,broken clouds,0,0
86,Tomatlan,MX,2021-10-30 14:36:57,19.9333,-105.25,78.6,76,9,3.29,clear sky,0,0
87,Caborca,MX,2021-10-30 14:41:16,30.5838,-111.101,69.6,26,0,4.05,clear sky,0,0
88,Dezful,IR,2021-10-30 14:36:31,32.3811,48.4058,82.36,29,93,11.39,overcast clouds,0,0
89,Spenge,DE,2021-10-30 14:41:16,52.1333,8.4833,58.53,83,100,7.4,light rain,0,0
90,Pangkalanbuun,ID,2021-10-30 14:41:16,-2.6833,111.6167,76.46,91,98,2.21,overcast clouds,0,0
91,Beringovskiy,RU,2021-10-30 14:37:17,63.05,179.3167,10.38,95,100,18.7,overcast clouds,0,0
92,Ponta Do Sol,PT,2021-10-30 14:36:37,32.6667,-17.1,81.72,74,93,9.75,overcast clouds,0,0
93,Narsaq,GL,2021-10-30 14:36:59,60.9167,-46.05,30.42,68,73,4.25,broken clouds,0,0
94,Hilo,US,2021-10-30 14:36:12,19.7297,-155.09,66.25,68,1,8.05,clear sky,0,0
95,Kodiak,US,2021-10-30 14:36:48,57.79,-152.4072,47.71,87,90,25.32,moderate rain,0,0
96,Boffa,GN,2021-10-30 14:41:17,10.1667,-14.0333,77.02,87,100,3.51,overcast clouds,0,0
97,Verkhoyansk,RU,2021-10-30 14:41:17,67.5447,133.385,-11.11,98,44,3.24,scattered clouds,0,0
98,Erzin,TR,2021-10-30 14:41:17,36.9559,36.2,75.72,66,50,7.0,scattered clouds,0,0
99,Linhares,BR,2021-10-30 14:41:17,-19.3911,-40.0722,75.38,82,97,5.86,overcast clouds,0,0
100,Longyearbyen,SJ,2021-10-30 14:37:01,78.2186,15.6401,19.24,79,20,5.75,few clouds,0,0
101,Kjollefjord,NO,2021-10-30 14:36:47,70.9457,27.3465,38.8,80,84,6.6,broken clouds,0,0
